rebalance_date,snapshot_date,exit_date,top1,reconstructed_top1_value,close_to_close_return,next_open_return,source_accession,source_method,top1_margin_vs_2,parsed_holdings,verification_status
2016-03-18,2016-04-30,2016-09-16,MSFT,231878.679578,0.0844970353,0.0897653424,0001193125-16-644489,"exact SPMO Schedule of Investments; direct SEC",0.527579,100,archival_noncanonical
2016-09-16,2016-10-31,2017-03-17,JNJ,106188.481566,0.0976588250,0.0964675773,0001193125-17-002614,"exact SPMO Schedule of Investments; direct SEC",0.141037,100,archival_noncanonical
2017-03-17,2017-04-30,2017-09-15,JPM,100745.480339,0.0217614744,0.0298741667,0001193125-17-221822,"exact SPMO Schedule of Investments; direct SEC",0.035438,101,archival_noncanonical
2017-09-15,2017-10-31,2018-03-16,MSFT,135482.848080,0.2683797865,0.2581860009,0001193125-18-002695,"exact multipage SPMO Schedule of Investments; direct SEC",0.004031,100,archival_noncanonical
2018-03-16,2018-04-30,2018-09-21,AMZN,2797590.0,0.2184478264,0.2246723718,0001193125-18-214392,"deprecated later-snapshot back-projection; raw 2018-04-30 SEC snapshot actually ranks MSFT above AMZN",1.0419,100,archival_invalid_reconstruction
2018-09-21,2018-11-30,2019-03-15,MSFT,3876842.0,0.0231743790,0.0366285718,0001193125-19-020397,"later-snapshot reconstruction; retained for provenance only",0.0683,,archival_noncanonical
2019-03-15,2019-05-31,2019-09-20,AMZN,5219273.0,0.0477703771,0.0375430170,0001752724-19-086759,"later-snapshot reconstruction; retained for provenance only",0.7368,,archival_noncanonical
