strategy,era,n_52w,unique_signal_weeks,mean_52w,median_52w,win_52w,median_maxdd_52w,matched_n,mean_matched_excess_52w,pct_outperform_matched_52w
EMA_confirm_next_close,2004-2009,2644,307,-0.001659223272692114,-0.0063353562453485335,0.4909228441754917,-0.21149012797924388,2620,-0.008945971438413776,0.4580152671755725
EMA_confirm_next_close,2010-2019,4116,496,0.1256821751150554,0.12252994349600377,0.6783284742468416,-0.12936466063380153,4113,0.0010630219387577884,0.4925844882081206
EMA_confirm_next_close,2020-2024,2380,203,0.18734950031341369,0.1534570615584545,0.7046218487394958,-0.1273739706109855,2374,0.03826673172681254,0.5193765796124684
EMA_confirm_next_close,pre2015,4706,549,0.0758865865212796,0.08092335297259567,0.6075223119422014,-0.14719212578603647,4681,-0.0006031689582956928,0.4813074129459517
EMA_confirm_next_close,2015-2024,4434,457,0.135699228916859,0.11705949573657726,0.6558412268831755,-0.1409845043684655,4426,0.016855494595278308,0.49841843651152284
EMA_fresh26_rising_reject,2004-2009,575,164,-0.11499628222886436,-0.0799033457249071,0.3808695652173913,-0.3370751254696388,571,-0.04404370357924125,0.45884413309982486
EMA_fresh26_rising_reject,2010-2019,1059,297,0.1664374442470959,0.17681511470985156,0.7365439093484419,-0.12640127904625198,1057,0.025045734505945213,0.554399243140965
EMA_fresh26_rising_reject,2020-2024,619,117,0.18716339314532837,0.15908553875236287,0.7172859450726979,-0.17625008105059148,617,0.02758098113882373,0.5332252836304701
EMA_fresh26_rising_reject,pre2015,1024,292,0.025506614457228308,0.053527894883742544,0.5576171875,-0.17295028175371263,1020,-0.01327222495314259,0.5058823529411764
EMA_fresh26_rising_reject,2015-2024,1229,286,0.16262795632940114,0.1512638961301065,0.709519934906428,-0.16405141019145653,1225,0.026024099137875123,0.5395918367346939
EMA_reject_close,2004-2009,2632,309,0.0011167005511861711,-0.0015809008782213807,0.4969604863221885,-0.21155944413795774,2608,-0.008245363976878695,0.46088957055214724
EMA_reject_close,2010-2019,3957,502,0.1278426171344345,0.12285654836459181,0.6734900176901694,-0.13171125620757584,3953,0.003709913308892221,0.4932962307108525
EMA_reject_close,2020-2024,2218,208,0.19686596969427939,0.15909154490597277,0.7091974752028855,-0.12854371812236132,2205,0.04601219771427998,0.5301587301587302
EMA_reject_close,pre2015,4582,554,0.07455456419705445,0.07689850695534417,0.6047577477084243,-0.15588071180115148,4557,-0.0008635718886790541,0.47970155804257186
EMA_reject_close,2015-2024,4225,465,0.14292357384205623,0.12135276911547854,0.6568047337278107,-0.14326798302528665,4209,0.023414961063209578,0.5072463768115942
