attempt	country	relay	exit_ip	vpn_state	curl_http	cloak_ok	cloak_http	text_chars
1	TH	27.130.31.148		VPN_FAIL		false		0
2	TH	27.130.191.167	27.130.191.167	VPN_OK	200	true	200	240
