horizon,n,signal_weeks,median_return,mean_return,win_rate,matched_n,median_excess,mean_excess,beat_matched,mean_excess_ci_lo,mean_excess_ci_hi,top5_positive_share
13,30,19,0.051749955459752806,0.05959790013220006,0.6666666666666666,30,-0.024896428233987578,-0.0013826635979727073,0.4666666666666667,-0.06219899406255848,0.04883577479658825,0.4943391356064863
26,24,14,0.06076129252835849,0.06344253918324166,0.7083333333333334,24,-0.0412491626391312,-0.018609697677448106,0.2916666666666667,-0.07986396276673337,0.09863987045052472,0.6495257764710853
52,18,9,0.20983256050463706,0.175181191003707,0.7222222222222222,18,0.09261008467748533,0.07416494001449103,0.6111111111111112,-0.0521235087193895,0.2759113551669019,0.6260598940166417
