horizon,n,signal_weeks,median_return,mean_return,win_rate,matched_n,median_excess,mean_excess,beat_matched,mean_excess_ci_lo,mean_excess_ci_hi,top5_positive_share,year
13,24,14,0.06781642140890376,0.05770868583011757,0.6666666666666666,24,-0.0030539592279756334,0.006816563130999084,0.5,-0.04901264601835454,0.07958798591759064,0.550433788073306,2025
26,24,14,0.06076129252835849,0.06344253918324166,0.7083333333333334,24,-0.0412491626391312,-0.018609697677448106,0.2916666666666667,-0.07986396276673337,0.09863987045052472,0.6495257764710853,2025
52,18,9,0.20983256050463706,0.175181191003707,0.7222222222222222,18,0.09261008467748533,0.07416494001449103,0.6111111111111112,-0.0521235087193895,0.2759113551669019,0.6260598940166417,2025
13,6,5,0.03104642252802081,0.06715475734053013,0.6666666666666666,6,-0.072493462646397,-0.03417957051385987,0.3333333333333333,-0.1519524900772873,0.0456687258539926,1.0,2026
26,0,0,,,,0,,,,,,,2026
52,0,0,,,,0,,,,,,,2026
