attempt	country	relay	exit_ip	vpn_state	curl_http	cloak_ok	cloak_http	text_chars
1	TH	171.6.228.23	171.6.228.23	VPN_OK	200	false	202	0
2	TH	171.101.232.34		VPN_FAIL		false		0
3	TH	27.130.167.38	27.130.167.38	VPN_OK	200	true	202	7830
