trading_day_shift,multiple,cagr
-5,17.687070160167394,0.31839824843200293
-4,17.50794418259677,0.3171076229565666
-3,16.009540150847215,0.3058178434722001
-2,17.565949739958047,0.3173355557850166
-1,18.585453172323852,0.324502105452261
0,21.707138975255027,0.3446364064098655
1,21.40015363526899,0.3427949279537226
2,22.564160569534927,0.3496554734472983
3,23.754872224734704,0.3564590304851978
4,23.880033090033038,0.3575826145529206
5,25.607709578723828,0.36686229026920314
6,24.700857640315178,0.36223224006681076
7,27.89684707069977,0.3784206662761729
8,26.717870563535843,0.37280829539794835
9,27.251286791915355,0.37577577803288054
10,29.125168824068012,0.3847543514055709
