regime,start,end,multiple,cagr
pre_covid,2016-03-21,2020-03-23,1.9960194556626254,0.1883300195455142
covid_to_2022_bear_end,2020-03-23,2022-09-19,1.9931192332100491,0.31893165038714133
post_2022_ai_bull,2022-09-19,2026-08-12,5.456379097858103,0.5457592422239022
first_half,2016-03-21,2021-09-20,5.354307586135412,0.35668976304772704
second_half,2021-09-20,2026-08-12,4.054144933971309,0.33121347565062886
