,wealth
2016-03-21,1.0
2016-03-22,1.0038989633418551
2016-03-23,1.0020420490769395
2016-03-24,1.0064983529051887
2016-03-28,0.9940585035686248
2016-03-29,1.0157815528607885
2016-03-30,1.0220938835975557
2016-03-31,1.0254362324718878
2016-04-01,1.0317490472212354
2016-04-04,1.0291496576579018
2016-04-05,1.012996786479141
2016-04-06,1.0233936993823676
2016-04-07,1.011139630207935
2016-04-08,1.0103973969158073
2016-04-11,1.0083549444950506
2016-04-12,1.0146675979068716
2016-04-13,1.0276643037172488
2016-04-14,1.0278499225418534
2016-04-15,1.033234159155598
2016-04-18,1.0482732367179688
2016-04-19,1.046973420933157
2016-04-20,1.0321203655392077
2016-04-21,1.035648091231854
2016-04-22,0.961381362224367
2016-04-25,0.9675083968115833
2016-04-26,0.9550684668062559
2016-04-27,0.9457851861818926
2016-04-28,0.9264758269596943
2016-04-29,0.9259190511546442
2016-05-02,0.9396583936009665
2016-05-03,0.9242477557143332
2016-05-04,0.9259190511546442
2016-05-05,0.927218624933166
2016-05-06,0.9355738114345068
2016-05-09,0.9296324763406584
2016-05-10,0.9472707014600723
2016-05-11,0.9478277999401761
2016-05-12,0.9563684439285945
2016-05-13,0.9483844950764627
2016-05-16,0.9623096983536796
2016-05-17,0.9443608984951404
2016-05-18,0.9499702009587967
2016-05-19,0.9408088108359446
2016-05-20,0.946417548618257
2016-05-23,0.9353864178971073
2016-05-24,0.9645530966640885
2016-05-25,0.9744620442174533
2016-05-26,0.9701624797965082
2016-05-27,0.9782019287578656
2016-05-31,0.9909150838648598
2016-06-01,0.9881107149737036
2016-06-02,0.9811932878426043
2016-06-03,0.9682924971919203
2016-06-06,0.9746491957485626
2016-06-07,0.9740883058365787
2016-06-08,0.972966768018901
2016-06-09,0.9651140672448358
2016-06-10,0.9624965272097352
2016-06-13,0.9374433906952776
2016-06-14,0.9316472593755657
2016-06-15,0.9290300420155188
2016-06-16,0.9421176615222583
2016-06-17,0.9372563198329318
2016-06-20,0.9361347013464907
2016-06-21,0.9570744569459516
2016-06-22,0.9533353790931733
2016-06-23,0.970536056839856
2016-06-24,0.9316472593755657
2016-06-27,0.9054723430371402
2016-06-28,0.9243556098510113
2016-06-29,0.9449217884071243
2016-06-30,0.9567006378963135
2016-07-01,0.9565136477027311
2016-07-05,0.9567006378963135
2016-07-06,0.9606269479489644
2016-07-07,0.9606269479489644
2016-07-08,0.9778277063644105
2016-07-11,0.9832496152906673
2016-07-12,0.9948415552550375
2016-07-13,1.00045029303735
2016-07-14,1.0047506641459292
2016-07-15,1.0040027840403627
2016-07-18,1.0088639643921624
2016-07-19,0.992597834269575
2016-07-20,1.0453222120149346
2016-07-21,1.0432654005542912
2016-07-22,1.0576620320848713
2016-07-25,1.0606532298320832
2016-07-26,1.0612142004128304
2016-07-27,1.0505572114163724
2016-07-28,1.0509311111347739
2016-07-29,1.0597186015392246
2016-08-01,1.057848860940927
2016-08-02,1.057848860940927
2016-08-03,1.065140429796718
2016-08-04,1.0729929692332563
2016-08-05,1.0836501195672412
2016-08-08,1.0855197794967753
2016-08-09,1.088137319531876
2016-08-10,1.0847719800599724
2016-08-11,1.0900068987926468
2016-08-12,1.0832760585113128
2016-08-15,1.0866412366456895
2016-08-16,1.0806211688387537
2016-08-17,1.082879006857813
2016-08-18,1.0836312430766033
2016-08-19,1.0840075628579071
2016-08-22,1.0849482413080214
2016-08-23,1.0890872748897822
2016-08-24,1.0902159115586398
2016-08-25,1.094354783802874
2016-08-26,1.0917209486775648
2016-08-29,1.0930379469089828
2016-08-30,1.0890872748897822
2016-08-31,1.080997569288821
2016-09-01,1.0834432041890967
2016-09-02,1.0849482413080214
2016-09-06,1.0838196853079272
2016-09-07,1.0847601217517513
2016-09-08,1.0804333719575372
2016-09-09,1.057481172717308
2016-09-12,1.0732841834691633
2016-09-13,1.063501482530534
2016-09-14,1.0584218511674222
2016-09-15,1.0759180185944726
2016-09-16,1.077046816600857
2016-09-19,1.0710265874563945
2016-09-20,1.0736663750042694
2016-09-21,1.0824050477399767
2016-09-22,1.0874111566641749
2016-09-23,1.0814949450649018
2016-09-26,1.0721190916143848
2016-09-27,1.085226873963243
2016-09-28,1.086774429458771
2016-09-29,1.0674765158296824
2016-09-30,1.0753047230827903
2016-10-03,1.0814949450649018
2016-10-04,1.0815855562441326
2016-10-05,1.0848628873143418
2016-10-06,1.0809488290387281
2016-10-07,1.0854089126386341
2016-10-10,1.090506358357112
2016-10-11,1.0708443673772412
2016-10-12,1.073848685785304
2016-10-13,1.0764881105256545
2016-10-14,1.0701163033775574
2016-10-17,1.0785818727492371
2016-10-18,1.0505452863844416
2016-10-19,1.043081065780235
2016-10-20,1.045629970043236
2016-10-21,1.0326132523830143
2016-10-24,1.03416062647478
2016-10-25,1.0373463486450665
2016-10-26,1.042808234521851
2016-10-27,1.05318534603796
2016-10-28,1.0498174037885202
2016-10-31,1.055825042883954
2016-11-01,1.0499086498809185
2016-11-02,1.0455389960564812
2016-11-03,1.047086551552009
2016-11-04,1.0478147969554548
2016-11-07,1.0619237466680238
2016-11-08,1.0654741811022603
2016-11-09,1.0951486620361712
2016-11-10,1.088139674173264
2016-11-11,1.0783996526700839
2016-11-14,1.0613778120456123
2016-11-15,1.0588289077826112
2016-11-16,1.0591930758352748
2016-11-17,1.0611045272778228
2016-11-18,1.057346748343365
2016-11-21,1.0540473767160456
2016-11-22,1.0333327904058736
2016-11-23,1.0363574260353055
2016-11-25,1.0460729580305856
2016-11-28,1.036907442242367
2016-11-29,1.0309495984796635
2016-11-30,1.0201340340702605
2016-12-01,1.0208672680771675
2016-12-02,1.0261834867328867
2016-12-05,1.0259999968273978
2016-12-06,1.0270999385396393
2016-12-07,1.018301130456755
2016-12-08,1.0172929790481986
2016-12-09,1.0289332049606692
2016-12-12,1.057346748343365
2016-12-13,1.0622047410957078
2016-12-14,1.0539553143067173
2016-12-15,1.0622047410957078
2016-12-16,1.0621127693882606
2016-12-19,1.063396019602229
2016-12-20,1.0600964665711474
2016-12-21,1.0568883410362264
2016-12-22,1.058079891648391
2016-12-23,1.0628460033951677
2016-12-27,1.0623875053861478
2016-12-28,1.0549634657152738
2016-12-29,1.0585381175517672
2016-12-30,1.0559717985275927
2017-01-03,1.0617464244904504
2017-01-04,1.0600047669693435
2017-01-05,1.0710948859728715
2017-01-06,1.0659625200301657
2017-01-09,1.065779120826558
2017-01-10,1.0646794512199595
2017-01-11,1.0515723944861506
2017-01-12,1.050564333779475
2017-01-13,1.0503808438739861
2017-01-17,1.0528554632963567
2017-01-18,1.0512973863826198
2017-01-19,1.04671458313757
2017-01-20,1.0462559944266692
2017-01-23,1.0440566552134725
2017-01-24,1.024350311013738
2017-01-25,1.0338826252091726
2017-01-26,1.0250837264244073
2017-01-27,1.039198934566773
2017-01-30,1.036907442242367
2017-01-31,1.0380072932527273
2017-02-01,1.0378238940491196
2017-02-02,1.040940501385999
2017-02-03,1.0415816729835774
2017-02-06,1.0393819709628564
2017-02-07,1.040115567777288
2017-02-08,1.0393819709628564
2017-02-09,1.0456148228290905
2017-02-10,1.0562468066311235
2017-02-13,1.0621127693882606
2017-02-14,1.066512354833465
2017-02-15,1.0742114026078697
2017-02-16,1.0822772487894903
2017-02-17,1.089426461760596
2017-02-21,1.0967589832334284
2017-02-22,1.0954753702119353
2017-02-23,1.1154569039189628
2017-02-24,1.1323407869822633
2017-02-27,1.1292961062371056
2017-02-28,1.127543473788384
2017-03-01,1.1427665147066481
2017-03-02,1.1406443627942775
2017-03-03,1.1421207173131327
2017-03-06,1.1413826761065267
2017-03-07,1.1424897832673762
2017-03-08,1.1449806383264658
2017-03-09,1.1620496439291153
2017-03-10,1.1644482551751143
2017-03-13,1.1687845307073026
2017-03-14,1.172198277406704
2017-03-15,1.1898207458878969
2017-03-16,1.1852073761089124
2017-03-17,1.181516625864596
2017-03-20,1.1816091417833299
2017-03-21,1.146960341490245
2017-03-22,1.148797408705814
2017-03-23,1.146960341490245
2017-03-24,1.1456475995899817
2017-03-27,1.1449913572139836
2017-03-28,1.1628407898335646
2017-03-29,1.1585098987298956
2017-03-30,1.1684846799857633
2017-03-31,1.1528663943000965
2017-04-03,1.148666391664054
2017-04-04,1.1524944293326664
2017-04-05,1.1377104611975193
2017-04-06,1.1415382417178654
2017-04-07,1.1375782869885604
2017-04-10,1.1336182036851223
2017-04-11,1.131638547755803
2017-04-12,1.1272821989737545
2017-04-13,1.1140823927341161
2017-04-17,1.1333543695637376
2017-04-18,1.1241143894792704
2017-04-19,1.1148741522465373
2017-04-20,1.1292623691996069
2017-04-21,1.1156660403330916
2017-04-24,1.155002010653022
2017-04-25,1.1650343931205762
2017-04-26,1.16727826889368
2017-04-27,1.1564546412102377
2017-04-28,1.1484021718202695
2017-05-01,1.1491945742033567
2017-05-02,1.1418025901357831
2017-05-03,1.1484021718202695
2017-05-04,1.1497224995943929
2017-05-05,1.1484021718202695
2017-05-08,1.1497224995943929
2017-05-09,1.1451023166909595
2017-05-10,1.1540783340799086
2017-05-11,1.1505145162550805
2017-05-12,1.1473465781864634
2017-05-15,1.1528899233664773
2017-05-16,1.1564546412102377
2017-05-17,1.1123664423520485
2017-05-18,1.1082744419879178
2017-05-19,1.1190981982454935
2017-05-22,1.118041833166888
2017-05-23,1.132034170363747
2017-05-24,1.131374713634418
2017-05-25,1.126622485096159
2017-05-26,1.1267545307309847
2017-05-30,1.1074824253272302
2017-05-31,1.0843822822548632
2017-06-01,1.0963943206517368
2017-06-02,1.0908503326010568
2017-06-05,1.0928306314010423
2017-06-06,1.0950742500258797
2017-06-07,1.1076147281103224
2017-06-08,1.121342459740997
2017-06-09,1.1478743750033664
2017-06-12,1.1481384662730176
2017-06-13,1.1519666325157634
2017-06-14,1.149590196811301
2017-06-15,1.1427265238571633
2017-06-16,1.1375782869885604
2017-06-19,1.162526426077821
2017-06-20,1.1552662304968067
2017-06-21,1.149986462289911
2017-06-22,1.1486662630899207
2017-06-23,1.146554175803376
2017-06-26,1.1515704956112862
2017-06-27,1.162262591956436
2017-06-28,1.185626569150188
2017-06-29,1.203182852746008
2017-06-30,1.2064820650046517
2017-07-03,1.2310368958203661
2017-07-05,1.2433803983327028
