attempt	country	relay	exit_ip	vpn_state	curl_http	cloak_ok	cloak_http	text_chars
1	TH	171.6.241.189		VPN_FAIL		false		0
2	TH	27.130.16.108		VPN_FAIL		false		0
3	TH	27.130.207.113		VPN_FAIL		false		0
4	JP	59.138.139.69		VPN_FAIL		false		0
5	JP	14.132.92.47	14.132.92.47	VPN_OK	200	true	202	38779
