row,symbol,date,time,old_R,bars_old,tag,line_test,status,setup_exact,canonical_r,canonical_r_rounded_2dp,r_delta,canonical_match_old,match_round_1dp,match_round_2dp,side,exit_reason,entry_time_utc,exit_time_utc,entry,stop,target,exit_price
34,SOL,2026-01-01,03:05,-1.0,4.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-31T20:10:00Z,2025-12-31T20:25:00Z,124.099,124.301,123.63440000000001,124.301
35,SOL,2025-11-22,03:25,-1.0,4.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-11-21T20:30:00Z,2025-11-21T20:45:00Z,126.119,127.171,123.69939999999998,127.171
36,XRP,2025-12-31,03:35,-1.0,5.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-30T20:40:00Z,2025-12-30T21:00:00Z,1.8681,1.8716000000000002,1.86005,1.8716000000000002
37,BTC,2026-01-01,03:35,-1.0,3.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-31T20:40:00Z,2025-12-31T20:40:00Z,87299.90000000001,87399.3,87071.28000000003,87399.3
38,SUI,2025-12-24,03:40,-1.0,4.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
39,XRP,2023-08-12,03:45,-1.0,10.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,LONG,SL,2023-08-11T20:50:00Z,2023-08-11T21:40:00Z,0.6317,0.6309,0.6335400000000001,0.6309
40,SUI,2025-11-26,03:45,-1.0,11.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
41,XRP,2025-12-12,04:00,2.3,6.0,T+1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,LONG,TP,2025-12-11T21:05:00Z,2025-12-11T21:15:00Z,2.0305,2.0224,2.0491299999999995,2.0492
42,SOL,2025-12-28,04:10,2.3,13.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
43,SUI,2025-11-21,04:15,2.3,15.0,,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,LONG,TP,2025-11-20T21:20:00Z,2025-11-20T21:45:00Z,1.52,1.5116,1.53932,1.5394
44,BTC,2025-11-20,04:15,2.3,,,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,LONG,TP,2025-11-19T21:20:00Z,2025-11-19T21:20:00Z,89892.20000000001,89639.90000000001,90472.49000000002,90472.5
45,SOL,2025-12-04,04:20,2.3,7.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
46,BTC,2025-12-02,04:20,-0.2,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
47,SOL,2025-12-16,04:30,-1.0,3.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,LONG,SL,2025-12-15T21:35:00Z,2025-12-15T21:40:00Z,125.911,125.639,126.53660000000002,125.639
48,SOL,2025-12-31,04:35,-1.0,1.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-30T21:40:00Z,2025-12-30T21:45:00Z,123.57900000000001,123.861,122.93040000000002,123.861
49,SUI,2025-11-19,04:40,-1.0,6.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-11-18T21:45:00Z,2025-11-18T22:05:00Z,1.6658000000000002,1.6695,1.6572900000000006,1.6695
50,SUI,2025-12-10,04:45,-1.0,3.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
51,XRP,2025-12-10,04:50,-1.0,1.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-09T21:55:00Z,2025-12-09T21:55:00Z,2.0881000000000003,2.0988,2.0634900000000003,2.0988
52,XRP,2023-08-14,04:55,2.3,5.0,,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2023-08-13T22:00:00Z,2023-08-13T22:20:00Z,0.6297,0.6309,0.62694,0.6269
53,SUI,2025-11-07,05:15,-1.0,2.0,,Hit,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,LONG,SL,2025-11-06T22:20:00Z,2025-11-06T22:25:00Z,1.9826000000000001,1.9744000000000002,2.0014600000000002,1.9744000000000002
54,BTC,2025-12-24,05:25,-1.0,,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-23T22:30:00Z,2025-12-23T22:40:00Z,87374.90000000001,87580.3,86902.48000000003,87580.3
