symbol,signal_vn,side,R,reason,mechanical_pass,fail_reasons,finalized_time_block,finalized_asset_whitelist,T_gate,volume_gate,session_allowed,sra_ok,side_predicate_ok,entry_match,stop_match,target_match,nextbar_fill,entry_time_match,exit_replay_match,signal_body_ratio,ema_distance_in_signal_ranges
SOLUSDT,2026-09-16 04:59:59,S,-1.0,SL,True,[],True,True,True,True,True,True,True,True,True,True,True,True,True,0.928571428571443,2.0997088863824906
SUIUSDT,2026-09-02 23:29:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.5714285714286054,3.232884152623275
SUIUSDT,2026-09-04 00:44:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.5999999999999889,1.671470777773297
SUIUSDT,2026-09-10 04:49:59,S,2.3,TP,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.9374999999999841,1.88324413364949
SUIUSDT,2026-09-10 20:29:59,S,-1.0,SL,True,[],False,False,True,True,True,True,True,True,True,True,True,True,True,0.18518518518520347,1.841178611582946
SUIUSDT,2026-09-11 17:59:59,S,2.3,TP,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.8823529411764782,2.575716562417381
SUIUSDT,2026-09-14 00:09:59,L,2.3,TP,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.5625000000000303,2.2933183426655335
SUIUSDT,2026-09-15 16:34:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.7500000000000278,1.647873152007427
TRUMPUSDT,2026-09-02 00:49:59,S,2.3,TP,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.6249999999999861,2.0126031247314473
TRUMPUSDT,2026-09-02 18:19:59,S,-1.0,SL,True,[],False,False,True,True,True,True,True,True,True,True,True,True,True,0.7142857142856871,1.9321719701193953
TRUMPUSDT,2026-09-07 03:49:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.25000000000008327,1.7414819557669532
UNIUSDT,2026-09-04 03:54:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.2777777777777682,1.7547535282857538
UNIUSDT,2026-09-04 16:14:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.7166666666666632,1.5286352108328278
UNIUSDT,2026-09-17 03:34:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.9090909090909133,1.540130365136299
USELESSUSDT,2026-09-07 18:24:59,L,-1.0,SL,True,[],False,False,True,True,True,True,True,True,True,True,True,True,True,0.7187910643889617,1.3321553879698116
USELESSUSDT,2026-09-09 01:19:59,S,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.6735159817351625,2.4745359293794937
USELESSUSDT,2026-09-09 18:24:59,L,-1.0,SL,True,[],False,False,True,True,True,True,True,True,True,True,True,True,True,0.5914149443561245,1.440166470141681
WLDUSDT,2026-09-11 20:54:59,L,-1.0,SL,True,[],False,False,True,True,True,True,True,True,True,True,True,True,True,0.3541666666666604,2.1687099215673498
XRPUSDT,2026-09-02 00:14:59,S,-1.0,SL,True,[],True,True,True,True,True,True,True,True,True,True,True,True,True,0.5999999999999334,1.8934771513534603
XRPUSDT,2026-09-09 16:54:59,S,-1.0,SL,True,[],True,True,True,True,True,True,True,True,True,True,True,True,True,0.2592592592592989,3.9581422142048437
XRPUSDT,2026-09-14 01:49:59,L,-1.0,SL,True,[],True,True,True,True,True,True,True,True,True,True,True,True,True,0.6799999999999397,1.3609556803780023
XRPUSDT,2026-09-14 03:54:59,L,-1.0,SL,True,[],True,True,True,True,True,True,True,True,True,True,True,True,True,0.5882352941177008,2.0179171328605046
XRPUSDT,2026-09-16 03:09:59,S,-1.0,SL,True,[],True,True,True,True,True,True,True,True,True,True,True,True,True,0.7592592592592634,2.9658958109374463
ZECUSDT,2026-09-02 15:39:59,S,2.3,TP,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.14333333333331666,1.6607232183953329
ZECUSDT,2026-09-10 23:14:59,S,2.3,TP,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.05172413793102404,2.0813634498785176
龙虾USDT,2026-09-17 17:34:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.4930332261521828,1.7518518957562326
