attempt	country	relay	exit_ip	vpn_state	curl_http	cloak_ok	cloak_http	text_chars
1	TH	27.130.18.68		VPN_FAIL		false		0
2	TH	27.130.63.111		VPN_FAIL		false		0
3	TH	49.48.53.178	49.48.53.178	VPN_OK	200	false	202	124
4	JP	110.66.191.52		VPN_FAIL		false		0
