symbol,interval,cost_bps_side,trades,win_rate_pct,pf,return_pct,maxdd_pct,buyhold_pct,delta_bhr_pp,exposure_pct
SOLUSDT,4h,0,47,46.808510638297875,0.9388108885052712,-12.252696144925867,-61.86440255572041,-34.11853581484788,21.865839669922018,49.5
SOLUSDT,4h,10,47,46.808510638297875,0.8972528341505165,-20.125144370369764,-63.06542325766162,-34.11853581484788,13.993391444478121,49.5
SOLUSDT,4h,20,47,44.680851063829785,0.8575935389024246,-27.291311731361233,-64.22862198967285,-34.11853581484788,6.82722408348665,49.5
SOLUSDT,1h,0,48,52.083333333333336,1.2633317454886503,20.739451377111596,-29.529382324520615,-24.654414074772212,45.393865451883805,61.06
SOLUSDT,1h,10,48,47.916666666666664,1.1209354349730687,9.687443385983308,-30.77604901802665,-24.654414074772212,34.34185746075552,61.06
SOLUSDT,1h,20,48,47.916666666666664,0.9956637639732685,-0.3529269902674992,-32.010935695173096,-24.654414074772212,24.301487084504714,61.06
ETHUSDT,4h,0,45,51.111111111111114,0.9899866678374906,-1.3174627137212847,-54.71545004125136,-16.637948185340434,15.32048547161915,49.54
ETHUSDT,4h,10,45,48.888888888888886,0.9244536115198201,-9.810954438051667,-57.18168656209488,-16.637948185340434,6.826993747288768,49.54
ETHUSDT,4h,20,45,46.666666666666664,0.8630533168154951,-17.573436000714395,-59.51361420187462,-16.637948185340434,-0.9354878153739588,49.54
ETHUSDT,1h,0,42,54.76190476190476,0.7899310721743301,-15.435370573990525,-43.04944014333639,-18.299590860119118,2.8642202861285937,53.96
ETHUSDT,1h,10,42,50.0,0.7006838276592676,-22.248638722664506,-46.60548816654955,-18.299590860119118,-3.949047862545385,53.96
ETHUSDT,1h,20,42,47.61904761904762,0.6210935645898444,-28.51298224916803,-50.264980615170806,-18.299590860119118,-10.213391389048908,53.96
XRPUSDT,4h,0,46,50.0,0.8521295971552466,-17.805904858689114,-60.015384246123716,191.92497532082925,-209.73088017951835,52.08
XRPUSDT,4h,10,46,50.0,0.7889940234353089,-25.030344858481723,-62.34390774712748,191.92497532082925,-216.95532017931097,52.08
XRPUSDT,4h,20,46,50.0,0.7293319968307806,-31.61980616479092,-64.53683280772515,191.92497532082925,-223.54478148562018,52.08
XRPUSDT,1h,0,50,46.0,1.0495526498042684,4.181645129871314,-25.92320238274336,-23.33316037980595,27.514805509677267,55.34
XRPUSDT,1h,10,50,40.0,0.9338032583433605,-5.7325523561983065,-29.02410861963407,-23.33316037980595,17.600608023607645,55.34
XRPUSDT,1h,20,50,38.0,0.8348214661764418,-14.703305971760184,-32.51885020329682,-23.33316037980595,8.629854408045768,55.34
