ticker,snapshot_value,snapshot_pct,source_accession
GOOGL,9586595.10,8.953135146599,0001752724-22-018016
GOOG,9587019.60,8.953531596624,0001752724-22-018016
BRK-B,6569173.98,6.135098210673,0001752724-22-018016
MRNA,3414694.27,3.189059198257,0001752724-22-018016
TGT,3139196.16,2.931765363926,0001752724-22-018016
NKE,3023811.08,2.824004662199,0001752724-22-018016
MS,2772916.08,2.589688221464,0001752724-22-018016
WFC,2728476.90,2.548185479333,0001752724-22-018016
GS,2548442.11,2.380046970390,0001752724-22-018016
INTU,2532228.60,2.364904811499,0001752724-22-018016
SCHW,2220086.93,2.073388738561,0001752724-22-018016
DE,2188304.82,2.043706716622,0001752724-22-018016
AMAT,2059188.10,1.923121729796,0001752724-22-018016
ORCL,2052811.02,1.917166032441,0001752724-22-018016
HON,1924718.08,1.797537176608,0001752724-22-018016
