ticker,snapshot_value,snapshot_pct,source_accession
JNJ,104159,,0001193125-17-002614
MSFT,92457,,0001193125-17-002614
T,85169,,0001193125-17-002614
AMZN,77402,,0001193125-17-002614
META,65364,,0001193125-17-002614
GE,58549,,0001193125-17-002614
VZ,53295,,0001193125-17-002614
GOOG,46288,,0001193125-17-002614
MO,41193,,0001193125-17-002614
PM,38962,,0001193125-17-002614
PEP,34518,,0001193125-17-002614
HD,32089,,0001193125-17-002614
MCD,22402,,0001193125-17-002614
