time,symbol,open,high,low,close,volume
2019-12-11 06:00:00,BIST_DLY:XU100,1080.1145,1081.8358,1074.6485,1079.7103,0.0
2019-12-11 10:00:00,BIST_DLY:XU100,1079.7589,1082.182,1078.8837,1080.4123,0.0
2019-12-11 14:00:00,BIST_DLY:XU100,1080.375,1081.0786,1078.6023,1079.2168,0.0
2019-12-12 06:00:00,BIST_DLY:XU100,1079.2168,1093.4005,1079.2168,1092.6536,0.0
2019-12-12 10:00:00,BIST_DLY:XU100,1092.6427,1096.435,1091.2478,1095.545,0.0
2019-12-12 14:00:00,BIST_DLY:XU100,1095.5395,1101.1466,1094.9008,1101.1466,0.0
2019-12-13 06:00:00,BIST_DLY:XU100,1101.1466,1117.4329,1101.1466,1117.0327,0.0
2019-12-13 10:00:00,BIST_DLY:XU100,1116.9898,1119.104,1105.7885,1109.541,0.0
2019-12-13 14:00:00,BIST_DLY:XU100,1109.5223,1109.7136,1100.1797,1104.7659,0.0
2019-12-16 06:00:00,BIST_DLY:XU100,1104.7659,1110.7342,1102.3445,1104.6951,0.0
2019-12-16 10:00:00,BIST_DLY:XU100,1104.67,1114.434,1104.6569,1113.7392,0.0
2019-12-16 14:00:00,BIST_DLY:XU100,1113.7321,1114.1494,1110.1855,1111.2551,0.0
2019-12-17 06:00:00,BIST_DLY:XU100,1111.2551,1118.5774,1111.2551,1117.9756,0.0
2019-12-17 10:00:00,BIST_DLY:XU100,1118.0227,1119.5568,1110.5133,1115.8472,0.0
2019-12-17 14:00:00,BIST_DLY:XU100,1115.8532,1116.597,1109.3743,1110.7369,0.0
2019-12-18 06:00:00,BIST_DLY:XU100,1110.7369,1110.7369,1101.058,1105.8876,0.0
2019-12-18 10:00:00,BIST_DLY:XU100,1105.8345,1107.6935,1103.8239,1104.8109,0.0
2019-12-18 14:00:00,BIST_DLY:XU100,1104.9232,1105.9084,1102.5816,1105.7468,0.0
2019-12-19 06:00:00,BIST_DLY:XU100,1105.7468,1112.7425,1105.7468,1107.4216,0.0
2019-12-19 10:00:00,BIST_DLY:XU100,1107.3245,1109.2856,1104.8588,1107.9206,0.0
2019-12-19 14:00:00,BIST_DLY:XU100,1107.8737,1108.7606,1105.9943,1105.9943,0.0
2019-12-20 06:00:00,BIST_DLY:XU100,1105.9943,1115.862,1105.9943,1114.572,0.0
