time,open,high,low,close,rsi,rsi_sma,buy,st_direction,sell
2019-12-11 06:00:00,1080.1145,1081.8358,1074.6485,1079.7103,,,False,,False
2019-12-11 10:00:00,1079.7589,1082.182,1078.8837,1080.4123,,,False,,False
2019-12-11 14:00:00,1080.375,1081.0786,1078.6023,1079.2168,,,False,,False
2019-12-12 06:00:00,1079.2168,1093.4005,1079.2168,1092.6536,,,False,,False
2019-12-12 10:00:00,1092.6427,1096.435,1091.2478,1095.545,,,False,,False
2019-12-12 14:00:00,1095.5395,1101.1466,1094.9008,1101.1466,,,False,,False
2019-12-13 06:00:00,1101.1466,1117.4329,1101.1466,1117.0327,,,False,,False
2019-12-13 10:00:00,1116.9898,1119.104,1105.7885,1109.541,,,False,,False
2019-12-13 14:00:00,1109.5223,1109.7136,1100.1797,1104.7659,,,False,,False
2019-12-16 06:00:00,1104.7659,1110.7342,1102.3445,1104.6951,,,False,1.0,False
2019-12-16 10:00:00,1104.67,1114.434,1104.6569,1113.7392,77.84912374314789,,False,1.0,False
2019-12-16 14:00:00,1113.7321,1114.1494,1110.1855,1111.2551,74.48413241832353,,False,1.0,False
2019-12-17 06:00:00,1111.2551,1118.5774,1111.2551,1117.9756,77.41825181059068,,False,1.0,False
2019-12-17 10:00:00,1118.0227,1119.5568,1110.5133,1115.8472,74.4073777045115,,False,1.0,False
2019-12-17 14:00:00,1115.8532,1116.597,1109.3743,1110.7369,67.4130810344798,,False,1.0,False
2019-12-18 06:00:00,1110.7369,1110.7369,1101.058,1105.8876,61.33423492136702,,False,1.0,False
2019-12-18 10:00:00,1105.8345,1107.6935,1103.8239,1104.8109,59.999491786441695,,False,1.0,False
2019-12-18 14:00:00,1104.9232,1105.9084,1102.5816,1105.7468,60.82290753666856,,False,1.0,False
2019-12-19 06:00:00,1105.7468,1112.7425,1105.7468,1107.4216,62.36338453526729,,False,1.0,False
2019-12-19 10:00:00,1107.3245,1109.2856,1104.8588,1107.9206,62.847012980250085,67.8938998471048,False,1.0,False
2019-12-19 14:00:00,1107.8737,1108.7606,1105.9943,1105.9943,59.56404729164032,66.06539220195404,False,1.0,False
2019-12-20 06:00:00,1105.9943,1115.862,1105.9943,1114.572,67.86859277163704,65.4038382372854,False,1.0,False
2019-12-20 10:00:00,1114.5546,1116.3633,1108.5891,1111.2918,62.42144718419885,63.904157774646215,False,1.0,False
2019-12-20 14:00:00,1111.3592,1113.7195,1110.6904,1111.7675,62.90123575670677,62.75354357986574,False,1.0,False
2019-12-23 06:00:00,1111.7675,1118.5667,1111.7675,1117.7394,68.5094759191951,62.86318306833728,False,1.0,False
2019-12-23 10:00:00,1117.7596,1121.7784,1116.9791,1117.8763,68.63026465233669,63.59278604143424,False,1.0,False
2019-12-23 14:00:00,1117.8896,1121.7519,1117.6206,1121.7519,72.00763801068246,64.79360066385831,False,1.0,False
2019-12-24 06:00:00,1121.7519,1133.2178,1121.7519,1131.9442,78.70655845028452,66.58196575521991,False,-1.0,False
2019-12-24 10:00:00,1131.9858,1133.9545,1130.5076,1132.8876,79.2180434146444,68.26743164315762,False,-1.0,False
2019-12-24 14:00:00,1132.9826,1133.529,1131.5346,1131.5346,76.29754489475388,69.612484834608,False,-1.0,False
2019-12-25 06:00:00,1131.5346,1135.8491,1130.6275,1132.9749,77.2879259602515,71.38487270146912,False,-1.0,False
2019-12-25 10:00:00,1132.9524,1135.7714,1132.2592,1135.1288,78.76242339276313,72.47425576358174,False,-1.0,False
2019-12-25 14:00:00,1135.3202,1135.4583,1133.2922,1133.2922,74.19859365887352,73.65197041104919,False,-1.0,False
2019-12-26 06:00:00,1133.2922,1145.3475,1133.2922,1144.1403,81.30716262852332,75.49256309823085,False,-1.0,False
2019-12-26 10:00:00,1144.1449,1144.6434,1131.6618,1135.2464,64.99490208383787,75.14110571469513,False,-1.0,False
2019-12-26 14:00:00,1135.1794,1138.3363,1134.7963,1136.5302,66.0861539707928,74.88669464654075,False,-1.0,False
2019-12-27 06:00:00,1136.5302,1142.9081,1136.5302,1140.7379,69.54375554833719,74.64030640030622,False,-1.0,False
2019-12-27 10:00:00,1140.7254,1140.9018,1133.8066,1138.0318,64.82125616016015,73.25177617129377,False,-1.0,False
2019-12-27 14:00:00,1138.0688,1139.6001,1136.3808,1136.8361,62.7299175030204,71.60296358013139,False,-1.0,False
2019-12-30 06:00:00,1136.8361,1148.2193,1136.8361,1147.8406,71.9757576156119,71.17078485221718,False,-1.0,False
2019-12-30 10:00:00,1147.9014,1149.6151,1146.0056,1148.4292,72.38292329602305,70.68028458579434,False,-1.0,False
2019-12-30 14:00:00,1148.4688,1148.691,1146.4133,1147.5397,70.65911617629803,69.86995386414782,False,-1.0,False
2019-12-31 06:00:00,1147.5397,1153.1201,1144.1857,1147.1547,69.85901068690823,69.43599556695129,False,-1.0,False
2019-12-31 10:00:00,1147.195,1150.0118,1145.7151,1148.9279,71.50993431561187,68.45627273566015,False,-1.0,False
2019-12-31 14:00:00,1149.0671,1149.2854,1144.2496,1144.2496,61.616357358669525,68.11841826314331,False,-1.0,False
2020-01-02 06:00:00,1144.2496,1154.8808,1144.2496,1153.6378,70.66565874707656,68.57636874077168,False,-1.0,False
2020-01-02 10:00:00,1153.6424,1158.4571,1151.2957,1158.2583,74.01565807590943,69.02355899352892,False,-1.0,False
2020-01-02 14:00:00,1158.337,1159.3205,1154.688,1159.3205,74.75214934998122,70.01664831251102,False,-1.0,False
2020-01-03 06:00:00,1159.3205,1159.3205,1139.1003,1141.4329,48.84657330481183,68.62831389269016,False,-1.0,False
2020-01-03 10:00:00,1141.4587,1141.9626,1126.172,1133.9811,42.09417331677038,65.640155462806,False,1.0,True
2020-01-03 14:00:00,1133.9633,1138.0796,1132.2412,1136.8401,45.31664889571287,62.933528022775,False,1.0,False
2020-01-06 06:00:00,1136.8401,1136.8401,1116.1189,1118.3729,32.382834661837464,59.10589987132894,False,1.0,False
2020-01-06 10:00:00,1118.34,1121.3307,1114.2091,1114.2364,30.23515041253907,55.14351384389202,False,1.0,False
2020-01-06 14:00:00,1114.1823,1117.2007,1112.1198,1114.127,30.17633869008506,51.01015428133934,False,1.0,False
2020-01-07 06:00:00,1114.127,1129.7105,1114.127,1127.3467,44.63554786310023,49.312073331782415,False,1.0,False
2020-01-07 10:00:00,1127.354,1133.8724,1124.5104,1129.8013,46.90395355233099,46.93590281230785,False,1.0,False
2020-01-07 14:00:00,1129.8072,1131.2305,1123.4758,1125.9992,43.81432584755022,43.915769589471935,False,1.0,False
2020-01-08 06:00:00,1125.9992,1128.4523,1107.4562,1128.1964,46.0943252440276,41.04998717887658,False,1.0,False
2020-01-08 10:00:00,1128.1925,1133.4243,1125.0457,1130.0204,48.039226157862004,40.969252464181594,False,1.0,False
2020-01-08 14:00:00,1129.9579,1129.9618,1124.7072,1128.7605,46.744835522480074,41.43431868475256,False,1.0,False
2020-01-09 06:00:00,1128.7605,1170.5581,1128.7605,1167.899,72.40701799666283,44.143355594847556,False,-1.0,False
2020-01-09 10:00:00,1167.9594,1175.9718,1165.3353,1175.473,74.99757204231148,48.404829332894955,False,-1.0,False
2020-01-09 14:00:00,1175.4352,1181.4462,1173.8892,1179.9045,76.4358060436106,53.0248948960021,False,-1.0,False
2020-01-10 06:00:00,1179.9045,1186.6924,1177.0109,1183.3899,77.56367453016841,57.763628480010446,False,-1.0,False
2020-01-10 10:00:00,1183.3342,1191.4015,1179.7025,1183.297,77.45388279588963,61.04546197328939,False,-1.0,False
2020-01-10 14:00:00,1183.139,1187.2769,1183.1258,1186.637,78.6605374453249,64.22112036258878,False,-1.0,False
2020-01-13 06:00:00,1186.637,1208.9969,1186.637,1205.253,83.9726782670989,68.23695560454364,False,-1.0,False
2020-01-13 10:00:00,1204.8276,1207.334,1201.653,1206.1194,84.17637388158298,72.04516046829917,False,-1.0,False
2020-01-13 14:00:00,1206.1685,1206.1685,1202.2274,1202.4903,79.47536330812522,75.18877418332549,False,-1.0,False
2020-01-14 06:00:00,1202.4903,1209.3539,1195.7471,1208.0286,81.2508507803997,78.63937570911746,False,-1.0,False
2020-01-14 10:00:00,1208.0426,1210.7403,1204.6461,1210.3396,81.97383118557418,79.5960570280086,False,-1.0,False
2020-01-14 14:00:00,1210.3651,1215.0439,1209.834,1214.2334,83.18752150775671,80.41505197455312,False,-1.0,False
2020-01-15 06:00:00,1214.2334,1218.041,1204.4241,1208.8141,75.342869960342,80.30575836622627,False,-1.0,False
2020-01-15 10:00:00,1208.7485,1214.5999,1204.6136,1209.3826,75.61094428736045,80.11048534194546,False,-1.0,False
2020-01-15 14:00:00,1209.465,1214.0944,1209.0915,1209.3878,75.61363886105036,79.92646094846154,False,-1.0,False
2020-01-16 06:00:00,1209.3878,1224.8243,1209.3878,1221.3418,80.98089723893887,80.15849692782294,False,-1.0,False
2020-01-16 10:00:00,1221.3387,1224.431,1218.1084,1218.7269,76.86887593470226,79.44811669458328,False,-1.0,False
2020-01-16 14:00:00,1218.6155,1219.0251,1207.6309,1210.0085,64.69844843446583,77.50032414987156,False,-1.0,False
2020-01-17 06:00:00,1210.0085,1218.7429,1205.9694,1206.9721,60.96333575137231,75.64912139419627,False,-1.0,False
2020-01-17 10:00:00,1206.9132,1214.2893,1206.0334,1210.6683,63.790713165012114,73.90310763265751,False,-1.0,False
2020-01-17 14:00:00,1210.6712,1214.7475,1210.0963,1214.7475,66.74432787023477,72.38015730112356,False,-1.0,False
2020-01-20 06:00:00,1214.7475,1229.099,1214.7475,1227.721,74.18544527019225,71.47994967736712,False,-1.0,False
2020-01-20 10:00:00,1227.7154,1229.2597,1224.6112,1225.723,71.44974248292294,71.09063692962522,False,-1.0,False
2020-01-20 14:00:00,1225.6634,1226.9134,1223.2145,1226.1977,71.72499677939496,70.70204217882866,False,-1.0,False
2020-01-21 06:00:00,1226.1977,1226.1977,1215.0406,1221.1197,64.35088744218604,69.57576703694222,False,-1.0,False
2020-01-21 10:00:00,1221.0942,1234.4462,1220.8263,1233.2772,72.00685107983371,68.67836242103172,False,-1.0,False
2020-01-21 14:00:00,1233.2821,1238.0396,1233.1506,1235.561,73.20781656928897,68.31225648449039,False,-1.0,False
2020-01-22 06:00:00,1235.561,1245.3663,1230.6662,1236.5931,73.77282061802504,69.2196937028463,False,-1.0,False
2020-01-22 10:00:00,1236.585,1237.2774,1223.6867,1226.0742,59.55144003896182,69.07850413160527,False,-1.0,False
2020-01-22 14:00:00,1226.1037,1229.6926,1225.9661,1227.4708,60.66992299073395,68.76642511417745,False,-1.0,False
2020-01-23 06:00:00,1227.4708,1234.1169,1222.03,1229.341,62.22414863603132,68.3144071907571,False,-1.0,False
2020-01-23 10:00:00,1229.2646,1234.5739,1221.8816,1227.4571,59.588549410308694,66.85471760476875,False,-1.0,False
2020-01-23 14:00:00,1227.5445,1229.0224,1223.8086,1225.4022,56.678954200674305,65.37763877654388,False,-1.0,False
2020-01-24 06:00:00,1225.4022,1239.3626,1214.3224,1214.9005,44.37522566552859,62.64266166515724,False,-1.0,False
2020-01-24 10:00:00,1214.5163,1219.0175,1207.6135,1216.0814,45.844057366394416,60.79197865757808,False,-1.0,False
2020-01-24 14:00:00,1216.0862,1224.1429,1215.7336,1221.4175,52.183484670706335,58.80964201666535,False,-1.0,False
2020-01-27 06:00:00,1221.4175,1221.4175,1206.2678,1209.1827,40.19623207913116,55.50848356764957,False,1.0,True
2020-01-27 10:00:00,1209.2116,1213.5752,1209.1204,1211.2739,42.69615451119225,52.40081695696629,False,1.0,False
2020-01-27 14:00:00,1211.2802,1211.6374,1200.0024,1201.497,35.078776370467125,49.95355059011682,False,1.0,False
2020-01-28 06:00:00,1201.497,1211.0942,1194.0317,1196.352,31.765109767134874,47.06306926775691,False,1.0,False
2020-01-28 10:00:00,1196.3583,1204.6204,1194.6854,1201.9331,38.73994096696649,44.71464850085042,False,1.0,False
2020-01-28 14:00:00,1201.8651,1203.7726,1197.7263,1198.0163,35.880050912031024,42.34379865102265,False,1.0,False
2020-01-29 06:00:00,1198.0163,1207.407,1198.0163,1204.9733,44.03391402119618,41.07929463307484,False,1.0,False
2020-01-29 10:00:00,1204.9978,1206.2379,1195.0576,1199.2091,39.41912590752916,40.5836846572749,False,1.0,False
2020-01-29 14:00:00,1199.2466,1200.9769,1196.4214,1196.8948,37.65850577357705,39.765129497993165,False,1.0,False
2020-01-30 06:00:00,1196.8948,1196.8948,1182.5589,1193.4392,35.06051131637028,38.05283216255956,False,1.0,False
2020-01-30 10:00:00,1193.4481,1194.2923,1186.0811,1188.6423,31.688622911537877,37.202071245800234,False,1.0,False
2020-01-30 14:00:00,1188.5131,1198.718,1187.952,1198.4965,43.98500726122745,37.33095652080375,True,1.0,False
2020-01-31 06:00:00,1198.4965,1203.1793,1192.0203,1198.1771,43.70170256354097,38.193249140111135,False,1.0,False
2020-01-31 10:00:00,1198.1425,1199.3188,1193.8186,1196.9786,42.55882590407293,39.27262075380494,False,1.0,False
2020-01-31 14:00:00,1197.0525,1197.9142,1191.4008,1191.4008,37.489059573962116,39.147532614504506,False,1.0,False
2020-02-03 06:00:00,1191.4008,1195.2709,1187.6162,1193.1631,39.99826660187685,39.559354183489084,False,1.0,False
2020-02-03 10:00:00,1193.2072,1197.8411,1188.9788,1196.5176,44.69354881059126,39.6253176624286,False,1.0,False
2020-02-03 14:00:00,1196.5749,1196.7089,1188.7311,1192.428,40.41005742644458,39.72441081432014,False,1.0,False
2020-02-04 06:00:00,1192.428,1208.0527,1192.428,1207.951,57.56332105320063,41.714892342282496,False,1.0,False
2020-02-04 10:00:00,1208.0129,1220.297,1206.1973,1220.297,66.16918319103426,44.82575952974889,False,-1.0,False
2020-02-04 14:00:00,1220.1989,1222.201,1217.8996,1221.3617,66.81404373313853,48.33830161190896,False,-1.0,False
2020-02-05 06:00:00,1221.3617,1235.9368,1221.2501,1235.8722,74.2474274753171,51.36454363331792,False,-1.0,False
