entry_time,entry,equity_in,exit_time,exit,pnl,ret_pct,forced_end
2020-01-31 06:00:00,1198.4965,10000.0,2020-02-10 14:00:00,1179.0235,-162.4785721109729,-1.6247857211097338,
2020-02-25 06:00:00,1147.8921,9837.521427889027,2020-03-09 10:00:00,1057.7674,-772.3754414130653,-7.851321565851011,
2020-03-13 14:00:00,962.0736,9065.145986475962,2020-05-04 10:00:00,994.437,304.94438847372476,3.3639214297118247,
2020-05-08 10:00:00,985.7696,9370.090374949687,2020-06-09 10:00:00,1087.7914,969.7534659367102,10.349456911635336,
2020-08-07 14:00:00,1042.2,10339.843840886397,2020-08-25 14:00:00,1099.11,564.613810194629,5.460564191134121,
2020-09-04 10:00:00,1081.64,10904.457651081026,2020-09-22 06:00:00,1087.03,54.33880657087866,0.49831736991974296,
2021-02-01 10:00:00,1490.24,10958.796457651904,2021-02-16 14:00:00,1536.94,343.4183719215325,3.133723427098989,
2021-03-29 10:00:00,1394.02,11302.214829573437,2021-04-07 10:00:00,1405.59,93.80541568855915,0.8299737449964706,
2021-05-28 14:00:00,1418.92,11396.020245261996,2021-06-16 06:00:00,1442.56,189.8640646392978,1.6660558734812314,
2021-07-01 10:00:00,1370.95,11585.884309901294,2021-07-12 14:00:00,1356.83,-119.32797436508008,-1.0299427404354744,
2021-07-27 14:00:00,1357.55,11466.556335536214,2021-08-12 06:00:00,1410.87,450.3677829993667,3.9276638061213065,
2021-09-15 10:00:00,1438.88,11916.92411853558,2021-09-24 14:00:00,1378.94,-496.42807716072275,-4.165740020015574,
2021-09-28 06:00:00,1391.74,11420.496041374858,2021-11-03 10:00:00,1507.99,953.9372762224466,8.35285326282207,
2021-12-29 10:00:00,1878.06,12374.433317597304,2022-01-19 06:00:00,1979.83,670.5568931407288,5.418889705334218,
2022-01-26 06:00:00,1945.07,13044.990210738033,2022-02-04 06:00:00,1957.9,86.04689003674503,0.6596163634213781,
2022-04-29 14:00:00,2427.25,13131.037100774778,2022-06-09 06:00:00,2540.36,611.9071403722883,4.660006179833154,
2022-06-15 10:00:00,2513.37,13742.944241147066,2022-06-27 10:00:00,2520.29,37.83811143951789,0.275327548271842,
2022-07-06 14:00:00,2390.18,13780.782352586584,2022-09-14 06:00:00,3426.88,5977.180406884216,43.37330242910578,
2023-01-12 14:00:00,4879.01,19757.9627594708,2023-01-24 14:00:00,5288.57,1658.5477848516057,8.394325898081778,
2023-01-31 14:00:00,5068.52,21416.510544322406,2023-03-14 10:00:00,5251.56,773.4167153395429,3.611310599543849,
2023-04-03 14:00:00,4824.1,22189.92725966195,2023-04-18 14:00:00,5037.14,979.9428086893677,4.416160527352253,
2023-05-03 14:00:00,4461.55,23169.870068351316,2023-05-15 14:00:00,4567.51,550.2750013879704,2.374959375105057,
2023-05-26 06:00:00,4427.99,23720.145069739287,2023-06-13 10:00:00,5464.05,5550.033649794623,23.397975153512096,
2023-09-20 10:00:00,7847.89,29270.17871953391,2023-10-10 06:00:00,8193.44,1288.7935810179479,4.403094334910396,
2023-10-19 10:00:00,7917.31,30558.972300551857,2023-10-25 14:00:00,7587.29,-1273.8003234214848,-4.168334952149156,
2023-12-27 14:00:00,7329.88,29285.171977130372,2024-02-14 14:00:00,8961.11,6517.276010556026,22.254525312829145,
2024-03-07 10:00:00,8924.43,35802.4479876864,2024-03-13 10:00:00,8942.48,72.41181634880195,0.20225381340879256,
2024-06-06 10:00:00,10415.95,35874.8598040352,2024-06-27 06:00:00,10486.7,243.6788128913322,0.679246732175165,
2024-08-12 10:00:00,9975.1,36118.53861692653,2024-09-09 06:00:00,9771.16,-738.4401926332575,-2.0444907820473035,
2024-09-13 06:00:00,9521.04,35380.098424293275,2024-09-27 06:00:00,9829.19,1145.0826096146993,3.2365161789048136,
2024-10-09 14:00:00,8991.94,36525.181033907975,2024-11-04 10:00:00,8761.46,-936.2077287765715,-2.563184362884996,
2025-02-06 06:00:00,9719.81,35588.9733051314,2025-02-19 14:00:00,9781.2,224.7787838653312,0.6315967081661267,
2025-02-26 10:00:00,9512.6,35813.752088996735,2025-03-19 10:00:00,10154.53,2416.7863547809975,6.748207640392745,
2025-04-03 10:00:00,9604.31,38230.53844377773,2025-04-07 10:00:00,9131.34,-1882.6857700088294,-4.924559911123227,
2025-05-05 14:00:00,9129.22,36347.8526737689,2025-05-21 10:00:00,9459.34,1314.367834783763,3.6160811109821056,
2025-05-23 10:00:00,9492.62,37662.220508552666,2025-06-13 06:00:00,9520.22,109.50372879520728,0.2907521843284355,
2025-06-20 10:00:00,9219.56,37771.72423734787,2025-07-09 06:00:00,9998.2,3190.019410922927,8.445522345968804,
2025-09-10 14:00:00,10544.27,40961.7436482708,2025-09-29 06:00:00,11151.2,2357.7650299589295,5.756017249178935,
2025-10-09 10:00:00,10794.2,43319.50867822973,2025-11-10 14:00:00,10844.72,202.74791818051017,0.46802912675323327,
2025-11-17 06:00:00,10565.74,43522.25659641024,2025-12-04 14:00:00,10912.88,1429.9345010266916,3.285524724250255,
2026-03-05 10:00:00,13103.78,44952.19109743693,2026-03-16 10:00:00,12894.76,-717.0379068624679,-1.5951122500530435,
2026-03-31 10:00:00,12703.53,44235.15319057446,2026-05-13 06:00:00,14779.93,7230.263720785384,16.3450631438663,
2026-05-22 10:00:00,13523.82,51465.41691135985,2026-06-08 10:00:00,13657.48,508.64826834225096,0.9883302203075761,
2026-06-12 06:00:00,13743.5,51974.0651797021,2026-06-24 10:00:00,14397.08,2471.6563844835546,4.755557172481528,
2026-06-30 06:00:00,14183.21,54445.72156418565,2026-07-09 06:00:00,14189.96,25.911526414558466,0.04759148316917372,
2026-07-22 10:00:00,14006.58,54471.63309060021,2026-08-24 14:00:00,14501.49,1924.7065259948504,3.5334107255304392,True
